ID,名称,标签
0,片名,电影名称
1,肖申克的救赎,电影名称
2,霸王别姬,电影名称
3,阿甘正传,电影名称
4,这个杀手不太冷,电影名称
5,泰坦尼克号,电影名称
6,美丽人生,电影名称
7,千与千寻,电影名称
8,辛德勒的名单,电影名称
9,盗梦空间,电影名称
10,忠犬八公的故事,电影名称
11,星际穿越,电影名称
12,楚门的世界,电影名称
13,海上钢琴师,电影名称
14,三傻大闹宝莱坞,电影名称
15,机器人总动员,电影名称
16,放牛班的春天,电影名称
17,大话西游之大圣娶亲,电影名称
18,疯狂动物城,电影名称
19,无间道,电影名称
20,熔炉,电影名称
21,教父,电影名称
22,当幸福来敲门,电影名称
23,龙猫,电影名称
24,怦然心动,电影名称
25,控方证人,电影名称
26,触不可及,电影名称
27,蝙蝠侠：黑暗骑士,电影名称
28,末代皇帝,电影名称
29,寻梦环游记,电影名称
30,活着,电影名称
31,何以为家,电影名称
32,乱世佳人,电影名称
33,哈利·波特与魔法石,电影名称
34,指环王3：王者无敌,电影名称
35,摔跤吧！爸爸,电影名称
36,飞屋环游记,电影名称
37,素媛,电影名称
38,少年派的奇幻漂流,电影名称
39,十二怒汉,电影名称
40,哈尔的移动城堡,电影名称
41,鬼子来了,电影名称
42,大话西游之月光宝盒,电影名称
43,天空之城,电影名称
44,我不是药神,电影名称
45,罗马假日,电影名称
46,闻香识女人,电影名称
47,辩护人,电影名称
48,天堂电影院,电影名称
49,猫鼠游戏,电影名称
50,大闹天宫,电影名称
51,钢琴家,电影名称
52,搏击俱乐部,电影名称
53,教父2,电影名称
54,狮子王,电影名称
55,指环王2：双塔奇兵,电影名称
56,死亡诗社,电影名称
57,黑客帝国,电影名称
58,指环王1：魔戒再现,电影名称
59,绿皮书,电影名称
60,让子弹飞,电影名称
61,饮食男女,电影名称
62,美丽心灵,电影名称
63,窃听风暴,电影名称
64,两杆大烟枪,电影名称
65,海蒂和爷爷,电影名称
66,本杰明·巴顿奇事,电影名称
67,看不见的客人,电影名称
68,飞越疯人院,电影名称
69,西西里的美丽传说,电影名称
70,穿条纹睡衣的男孩,电影名称
71,拯救大兵瑞恩,电影名称
72,小鞋子,电影名称
73,音乐之声,电影名称
74,情书,电影名称
75,海豚湾,电影名称
76,美国往事,电影名称
77,阿凡达,电影名称
78,致命魔术,电影名称
79,沉默的羔羊,电影名称
80,禁闭岛,电影名称
81,低俗小说,电影名称
82,蝴蝶效应,电影名称
83,心灵捕手,电影名称
84,布达佩斯大饭店,电影名称
85,七宗罪,电影名称
86,春光乍泄,电影名称
87,哈利·波特与死亡圣器(下),电影名称
88,摩登时代,电影名称
89,被嫌弃的松子的一生,电影名称
90,喜剧之王,电影名称
91,致命ID,电影名称
92,杀人回忆,电影名称
93,剪刀手爱德华,电影名称
94,加勒比海盗,电影名称
95,勇敢的心,电影名称
96,狩猎,电影名称
97,请以你的名字呼唤我,电影名称
98,天使爱美丽,电影名称
99,断背山,电影名称
100,红辣椒,电影名称
101,7号房的礼物,电影名称
102,幽灵公主,电影名称
103,小森林,电影名称
104,第六感,电影名称
105,阳光灿烂的日子,电影名称
106,重庆森林,电影名称
107,唐伯虎点秋香,电影名称
108,超脱,电影名称
109,功夫,电影名称
110,爱在黎明破晓前,电影名称
111,小森林,电影名称
112,入殓师,电影名称
113,一一,电影名称
114,蝙蝠侠：黑暗骑士崛起,电影名称
115,消失的爱人,电影名称
116,菊次郎的夏天,电影名称
117,人生果实,电影名称
118,侧耳倾听,电影名称
119,无人知晓,电影名称
120,超能陆战队,电影名称
121,倩女幽魂,电影名称
122,甜蜜蜜,电影名称
123,借东西的小人阿莉埃蒂,电影名称
124,萤火之森,电影名称
125,哈利·波特与阿兹卡班的囚徒,电影名称
