名称,名称,关系
肖申克的救赎,剧情,属于
肖申克的救赎,犯罪,属于
霸王别姬,剧情,属于
霸王别姬,犯罪,属于
阿甘正传,剧情,属于
阿甘正传,犯罪,属于
这个杀手不太冷,剧情,属于
这个杀手不太冷,犯罪,属于
泰坦尼克号,剧情,属于
泰坦尼克号,犯罪,属于
美丽人生,剧情,属于
美丽人生,犯罪,属于
千与千寻,剧情,属于
千与千寻,犯罪,属于
辛德勒的名单,剧情,属于
辛德勒的名单,犯罪,属于
盗梦空间,剧情,属于
盗梦空间,犯罪,属于
忠犬八公的故事,剧情,属于
忠犬八公的故事,犯罪,属于
星际穿越,剧情,属于
星际穿越,犯罪,属于
楚门的世界,剧情,属于
楚门的世界,犯罪,属于
海上钢琴师,剧情,属于
海上钢琴师,犯罪,属于
三傻大闹宝莱坞,剧情,属于
三傻大闹宝莱坞,犯罪,属于
机器人总动员,剧情,属于
机器人总动员,犯罪,属于
放牛班的春天,剧情,属于
放牛班的春天,犯罪,属于
大话西游之大圣娶亲,剧情,属于
大话西游之大圣娶亲,犯罪,属于
疯狂动物城,剧情,属于
疯狂动物城,犯罪,属于
无间道,剧情,属于
无间道,犯罪,属于
熔炉,剧情,属于
熔炉,犯罪,属于
教父,剧情,属于
教父,犯罪,属于
当幸福来敲门,剧情,属于
当幸福来敲门,犯罪,属于
龙猫,剧情,属于
龙猫,犯罪,属于
怦然心动,剧情,属于
怦然心动,犯罪,属于
控方证人,剧情,属于
控方证人,犯罪,属于
触不可及,剧情,属于
触不可及,犯罪,属于
蝙蝠侠：黑暗骑士,剧情,属于
蝙蝠侠：黑暗骑士,犯罪,属于
末代皇帝,剧情,属于
末代皇帝,犯罪,属于
寻梦环游记,剧情,属于
寻梦环游记,犯罪,属于
活着,剧情,属于
活着,犯罪,属于
何以为家,剧情,属于
何以为家,犯罪,属于
乱世佳人,剧情,属于
乱世佳人,犯罪,属于
哈利·波特与魔法石,剧情,属于
哈利·波特与魔法石,犯罪,属于
指环王3：王者无敌,剧情,属于
指环王3：王者无敌,犯罪,属于
摔跤吧！爸爸,剧情,属于
摔跤吧！爸爸,犯罪,属于
飞屋环游记,剧情,属于
飞屋环游记,犯罪,属于
素媛,剧情,属于
素媛,犯罪,属于
少年派的奇幻漂流,剧情,属于
少年派的奇幻漂流,犯罪,属于
十二怒汉,剧情,属于
